place_id,city,title,rating,reviews,description,tips,address,timings,ticket_price,avg_ticket_price
11,cairo,"Kefre, The Second Pyramid",4.0,2707.0,"The Pyramids of Cairo account for an incredible experience altogether. Kefre, the second pyramid adds to the same feeling. You could also enter the pyramid and explore the burial chamber of the tomb that is within the walls of Kefre. These iconic historic structures are to be witnessed in person. The television or clip will never be able to match up to a real experience. Therefore, do not miss the pyramids on a visit to Cairo. Also, visit the popular attractions in the city by following Cairo itinerary 4 days.
Guided tours are available and recommended.",Guided tours are available and recommended.,"Al Ahram, Al Haram, Giza Governorate, Egypt, Cairo",No timings,,40.0
12,cairo,Mosque And Madrasa Of Sultan Hassan,4.0,1224.0,"The Mosque and Madrasa of Sultan Hassan is one of Cairo’s finest examples of the ancient Mamluk architecture in the city. The holy shrine is not only a gorgeous structure but also a peaceful place to spend some time at. The interiors of the mosque are commendable too. The construction of the mosque was completed in two halves due to misfortune and uncertainties. Sultan Hassan who first undertook the building of the mosque was killed about 2 years before the mosque was completed. However, the mosque was finally completed one of his functionaries named Bashir Al Gamdar. Also, visit the popular attractions in the city by following Cairo itinerary 4 days.
It is wise to dress modestly.
The mosque looks best at sunrise.","It is wise to dress modestly.
The mosque looks best at sunrise.","Cairo, Cairo Governorate, Egypt",08:00 am - 04:30 pm,25.0,25.0
13,cairo,Memphis And Sakkara,,,"Memphis and Sakkara is a must visit if you’re visiting the pyramids of Giza. The area is the original birth place of ancient civilization. This is probably the best place to see statues, views of the pyramids Sphinx and more. The tombs at Sakkara and the story behind them are said to be more interesting than the pyramids. The exhibits here are alluring enough and you’re sure to enjoy your trip here without a doubt. Also, visit the popular attractions in the city by following Cairo itinerary 4 days.
Guided tours are available and recommended.",Guided tours are available and recommended.,"Cairo, Mit Rahinah, Al Badrashin, Giza Governorate, Egypt",07:30 am - 05:00 pm,,40.0
14,cairo,Hanging Church,4.0,1855.0,"The church is so named because of its location above a gatehouse of the Babylon fortress. It’s famous for not only its Coptic Architecture, but also for being one of the first examples of the Basilican style. The entrance of the church is worth seeing as it is completely decorated and has an open courtyard, which has twenty nine steps leading towards the church. The church has marble pulpit, icons, murals and even inlaid screens. The most famous site of this church is the Virgin Mary which is definitely worth watching. Also, visit the popular attractions in the city by following Cairo itinerary 4 days.
Not open to tourist during services.
A place worth visiting.
Especially for those who love exploring about ancient history.","Not open to tourist during services.
A place worth visiting.
Especially for those who love exploring about ancient history.","5 Mari Gerges, Misr Al Qadimah, Cairo Governorate, Egypt",09:00 am - 05:00 pm,,40.0
15,cairo,Saladin Castle,4.0,1745.0,"The castle of Saladin which is also known as The Citadel is located on Mokattam hill exactly in the centre of the city. It is one of the most popular places and is famous for its cool fresh breeze and grand views of Cairo. Now, the castle is known to be a preserved site along with its museums and mosques. Saladin castle also includes four other museums namely Al-Gawhara Palace museum, Carriage Museum, Egyptian Military museum and The Egyptian Police Museum. The citadel depicts the political life of Egypt in ancient times and also many important events of history of Egypt. Citadel is also considered to be most famous among the wonders of ancient world. Also, visit the popular attractions in the city by following Cairo itinerary 4 days.
Parking and wheel chair facilities available.
Confirm timings before visiting the castle.
Club your visit to the mosque with the Citadel.
It is wise to dress modestly.","Parking and wheel chair facilities available.
Confirm timings before visiting the castle.
Club your visit to the mosque with the Citadel.
It is wise to dress modestly.","Al Abageyah, Qesm Al Khalifah, Cairo Governorate, Egypt",08:00 am - 05:00 pm,40.0,40.0
16,cairo,Al- Azhar Park,4.0,1854.0,"Al-Azhar Park is quite a relaxing garden with lush green grass and a fresh atmosphere. The park has gorgeous fountains, running waterways and incredible views. There are cafes here too. The park serves as a great getaway from the hustle and bustle of the city. You could simply spend an evening here with family and friends enjoy the glorious sunset at the cafe while sipping on a steamy hot cup of tea or coffee.
Monday to Wednesday: EGP 5
Thursday to Sunday: EGP 7","Monday to Wednesday: EGP 5
Thursday to Sunday: EGP 7","Salah Salem St, El-Darb El-Ahmar, Cairo Governorate, Egypt",09:00 am - 11:59 pm,5.0,5.0
17,cairo,Ben Ezra Synagogue,4.0,1128.0,"The synagogue of Ben Ezra is also known as El-Geniza Synagogue or the Synagogue of the Palestinians and is located in the Old Cairo exactly behind the Hanging church. It was originally a Coptic Christian church, sold to the Jews in the ninth century in order to pay the annual tax imposed by the Muslim rulers at the time.
Over the years it became a prime pilgrimage destination, and the most visited Jewish site in Cairo. Many major festival celebrations of Jews take place here. The synagogue is of basilica style and has two floors,one each for men and women.",Parking space available.,"Cairo, Egypt",10:00 am - 05:00 pm,,40.0
18,cairo,Bab Zuweila,4.0,722.0,"Bab Zuweila is an iconic structure that was built sometime in 11th century. They are actually massive gates flanked by 2 towers. These gates are oldest and the most elegant piece of architecture of the olden period. Bab Zuweila is historically significant and impressive. Make a trip here and dive into the history of Cairo when the city had hardly any commendable fortified structures. A visit to the lovely gates would indeed be informative and interesting.
Adult: EGP 20
Student: EGP 10","Adult: EGP 20
Student: EGP 10","Al Motaz Ldin Allah, El-Darb El-Ahmar, Cairo Governorate, Egypt",09:00 am - 05:00 pm,20.0,20.0
19,cairo,Bazar Khan El Khalili,3.0,1819.0,"Bazar Khan El Khalili is located in the Islamic district of Cairo. Tourists and Egyptians alike flock to this place for its countless shopping opportunities. There are several shops in this Bazaar selling everything from basic market fare to unique antiques. Bazaar Khan El Khalili also houses many coffee stores, restaurants and street food vendors. There is also the Al Hussein Mosque in this Bazaar; so those who are religious can surely visit this mosque. The Bazaar is open air, busy and colorful and offers everything right from perfumes, spices, jewelry to souvenirs. Those who are thinking of buying gifts for close ones, friends, family, relatives, can surely shop here and find an extensive collection of Papyrus, Perfume, Scarves, T-shirts and other Textiles, Hand-Blown Glass, Jewelry, etc.
The Bazar Khan El Khalili in Cairo is one of those places where you can shop till you drop, getting all sorts of stuff like antiquities, perfumes, souvenirs and local dishes. Being an open market, there are no tickets for Bazar Khan El Khalili. You can also visit the bazar as a part of a tour or package of other Cairo attractions. You can find and buy tickets for Bazar Khan El Khalili tours on our ticket booking section and check in detail Bazar Khan El Khalili ticket prices too. It is always better to combine Bazar Khan El Khalili tickets with other great tours for some excellent deals.","ATM facility available on the streets of this bazaar.
Parking options also there.
Carry cash along with your cards to avoid waste of time.","Islamic district, Cairo, Egypt",08:00 am - 08:00 pm,,40.0
20,cairo,Mosque Of Ibn Tulun,4.0,1554.0,"Ibn Tulun mosque is the oldest and largest mosque in Egypt, built in the 9th century with the intent of accommodating an entire army and is also a historic mosque in Cairo. The mosque of Ibn Tulun is completely made up of red building bricks. The mosque is surrounded by three Ziyadahs. The mosque also attracts millions of tourist every year because of its brilliant architecture. The mosque itself is the third largest mosque in the world. The minaret of this famous mosque of Ibn Tulun is a popular landmark of Cairo and is even completely unique in its design.
The oldest and largest mosque in Egypt, the Mosque of Ibn Tulun boasts of a splendid architecture and humongous area. Mosque of Ibn Tulun ticket prices are zero as there is no entry fee. Tickets for Mosque of Ibn Tulun tours can though be purchased for a combined experience. Check our ticketing portal for details about offers on Mosque of Ibn Tulun tickets and buy tickets for Mosque of Ibn Tulun tours on the platform to avail special discounts.","Open all day except at Prayer times (Friday has huge rush).
The mosque is open from dawn to dusk.","Shar'a Tulun Bay, Cairo, Egypt, Cairo, Egypt",08:00 am - 04:00 pm,,40.0
21,cairo,Cave Church,,,"The Cave Church, also referred to as the Monastery of Saint Simon is actually located in an area that is called the ‘Garbage City’. The scintillating church is actually cut into a cave with well-done interiors, stone sculptures cut into walls and a lot more. There are a total of 3 churches here including a hidden chapel. The church is massive and the experience of hearing a mass here is out of the world.
It is wise to dress modestly.
Maintain peace and calm in the church.","It is wise to dress modestly.
Maintain peace and calm in the church.","Saint Simon Monastery, Al Abageyah, Qism El-Khalifa, Cairo Governorate, Egypt",No timings,,40.0
22,cairo,Zamalek,4.0,388.0,"Zamalek is a little island in the Nile River. The gorgeous island features gardens, classy hotels, restaurants and more. The island is located between downtown Cairo and Giza. There are plenty of stores here and the streets are very well lit. If you have a craving for Indian spices, there is an Indian restaurant here too. It’s a true delight to be strolling along the mystic waters of the longest river while on Gezira(Zamalek) Island.
Use a ferry.",Use a ferry.,"Cairo, Egypt",24-hrs,,40.0
23,cairo,Mosque Of Al- Azhar,4.0,426.0,"The iconic structure of the holy mosque was founded in AD 970. The mosque is one of Cairo’s oldest and the sheikh of the mosque is said to be the highest theological authority for Egyptian Muslims. The structure of the mosque comprises of more than one architectural style. There are three minarets in the mosque that stand from north to south. These minarets belong to the 14th, 15th, and 16th centuries. The Mosque of Al-Azhar is indeed a charming structure in the center of the city. It is also a peaceful and tranquil place to spend a few hours at.
It is wise to dress modestly.",It is wise to dress modestly.,"Cairo Governorate, Egypt",24-hrs,,40.0
24,cairo,City Stars Mall,4.0,322.0,"The City Stars Mall in the city of Cairo has almost everything under the sun. The mall features trending brands, great restaurants, a cinema hall, an amusement park, several cafes, shops and more. If you’re out with kids, this would be an ideal place to spend a part of your day or even the entire day for that matter. Catch a flick, feed that adrenaline rush at the amusement park, or shop till you drop here at the City Stars Mall in Cairo.
Hire a Taxi.",Hire a Taxi.,"Omar Ibn El-Khattab, Masaken Al Mohandesin, Nasr City, Cairo Governorate, Egypt",10:00 am - 11:59 pm,,40.0
25,cairo,Sharia Al Mu'izz Li- Din Allah,,,"This is Cairo’s main street that’s now only for pedestrians. Sharia Al Mu'izz Li-Din Allah is replete with historic sites. It is also home to old cafes, restaurants, madrassa (schools), hospitals, old minarets, hot pools, and mausoleums of the Mamluk, ottoman, and abuyyid eras. The cobbled streets here are ideal for walking and admiring the gorgeousness of ancient architecture and cherishing the marvels of the bygone time. Sharia Al Mu'izz Li-Din Allah is a stunning area in Cairo and a visit here is highly recommended.
Hire a Taxi.",Hire a Taxi.,"Sharia Al Mu'izz Li-Din Allah, Cairo, Egypt",24-hrs,,40.0
26,cairo,Cairo Tower,4.0,2507.0,"This is a sixteen floor tower which will give you an awesome experience. The tower is one of the main landmarks of the city of Cairo and is also considered to have excellent architecture. It is built in shape of different plant lives of ancient Egypt. Many of the tourists specially visit the Cairo Tower just to have a great panoramic view of the city.
You will get heartwarming views of the Nile, different parts of Cairo, Saladin Citadel, the old campus of the American University, the Abdeen Palace, Qaser El Nile Bridge, Al Azhar Mosque, and even the pyramids. Free telescopes are also offered at the top floor so that visitors can explore Cairo in an amazing way. Visitors will also get all kinds of drinks and snacks in the revolving restaurant of the tower.","Confirm timings of the tower before visiting.
Parking and wheel chair facility available.
Free telescopes available.","El Borg Street, El Gezira, Zamalek, Cairo, Egypt",09:00 am - 11:59 pm,70.0,70.0
27,cairo,Mikerinos Pyramid,4.0,387.0,"Walk down the pyramid as the ancients did. The Mikerinos Pyramid is an iconic structure that cannot be admired enough. A visit here takes you back to the ancient era of the mysterious pyramids Egypt is famed for. In the area you can enjoy horse rides and buy souvenirs. A visit here will also get you familiar with the Egyptian culture. The Mikerinos Pyramid is the smallest of the three pyramids of Giza.
Guided tours are available and recommended.",Guided tours are available and recommended.,"Al Ahram, Al Haram, Giza Governorate, Egypt, Cairo",No timings,,40.0
28,cairo,The Coptic Museum,4.0,270.0,"The Coptic museum features impressive collections of ancient ankhs and Horus-like falcons, stone carvings and a lot more that belong to the era on the mamluks. It is also home to a wide collection of Coptic art that belongs to the Christian era. The museum lays emphasis on the development and influence of Coptic art. The presentation is pretty impressive and the exhibits are quite interesting. The Coptic museum is a huge dig through history and is recommended especially to history and art lovers.
The museum is wheelchair-accessible.
Photography is not permitted in the museum premises.
Additional contact number: +20-223639742","The museum is wheelchair-accessible.
Photography is not permitted in the museum premises.
Additional contact number: +20-223639742","Kom Ghorab, Misr Al Qadimah, Cairo Governorate, Egypt",09:00 am - 09:00 pm,40.0,40.0
29,cairo,Gayer Anderson Museum,4.0,211.0,"The Gayer-Anderson Museum, locally known as Bayt al-Kiritliya features a collection of antiquity items that were collected by a British member and John Gayer-Anderson. These items belong to 16th and 17th century. While history lovers would love this place, any one visiting Cairo should have a look at the interesting exhibits on display here. You can take a peek into the lives of the ancient people and understand how they lived thousands of years back.
Egyptian: EGP 2 (EGP 1, students)
Foreign: EGP 30 (EGP 15, students)
Video: EGP 20","Egyptian: EGP 2 (EGP 1, students)
Foreign: EGP 30 (EGP 15, students)
Video: EGP 20","Ahmed Ibn Tolon, Tolon, As Sayedah Zeinab, Cairo Governorate, Egypt",08:00 am - 04:00 pm,30.0,30.0
30,cairo,Al Tannoura Egyptian Heritage Dance Troupe,,,"Watch the vigorous and soulful dance of the performers and sway to the melodious voices of these talented people while enjoying a show at the Al-Tannoura Egyptian Heritage Dance Troupe. The heritage dance troupe is Egypt’s only Sufi dance troupe. The show is a true delight and should be attended at least once when in Cairo. The Al-Tannoura Egyptian Heritage Dance Troupe is a true charm in Cairo and is highly recommended.
Arrive an hour in advance for a secure seat.",Arrive an hour in advance for a secure seat.,"Wikala of Al-Ghouri, Sharia Mohammed Abduh, Islamic Cairo,Cairo, Egypt",No timings,,40.0
31,cairo,Festival City Mall,4.0,232.0,No description,No tips,No address,No timings,,40.0
32,cairo,Al Rifai Mosque,4.0,231.0,"Al Rifai is not an ordinary mosque in Cairo. It holds great historic significance. The mosque was resting place of the last Shah of Iran. Mohammed Reza Shah Pahlavi, who lost his life in 1980, was buried at this mosque. The last monarch of Egypt King Farouk and many other Egyptian royals were also buried at the Al Rifai Mosque. The mosque is quite a peaceful place and the architecture and interiors are commendable.
It is wise to dress modestly.",It is wise to dress modestly.,"El-Refaey, El-Darb El-Ahmar, Cairo Governorate, Egypt",No timings,25.0,25.0
33,cairo,Cairo Opera House,4.0,323.0,"Inaugurated on 10 October 1988, the Cairo Opera House was actually gifted to Egypt by Japan. The opera house serves as a second home for music companies, dance academies, museums, galleries, and also host relevant educational programs. The main motto of the house is to encourage music and dance and to preserve and keep up to the aged Arabic tradition. Visit the opera house and treat yourself to some traditional entertainment in Cairo.
Visit the official website for price details.",Visit the official website for price details.,"Opera Land, EL GEZIRAH, Zamalek, Cairo Governorate, Egypt",10:00 am - 11:00 pm,,40.0
34,cairo,Pyramids Show,,,"The spectacular pyramid show is a highly recommended watch in Cairo. You could attend the show with a guide or by yourself (which is a better option). There is an entertaining light and sound show that’s put up at the Giza pyramids after dark. The narration of the pyramids gives you an insight to the history of the gorgeous pyramids. The pyramids are the show of Egypt, don’t miss a thing about them on a visit to any part of the country.
Carry mosquito repellent.
There are shows in various languages as well.
Other contact number: + 201090895865","Carry mosquito repellent.
There are shows in various languages as well.
Other contact number: + 201090895865","Abulhool, Cairo 11523, Egypt",No timings,100.0,100.0
35,cairo,The Solar Boat Museum,4.0,1751.0,No description,No tips,No address,No timings,,40.0
36,cairo,Coptic Church Of St George,,,"The Coptic Church of St. George was built in 684 AD by the Athanasius who were extremely wealthy. The interiors and exteriors of the church are commendable. There is a large walking area in the exterior part of the church premises. The Girgis metro station is a stone throw away. The Coptic Church of St. George is an oasis of peace and tranquility and comes highly recommended by tourists and locals.
It is wise to dress modestly.",It is wise to dress modestly.,"Nearby Roman Fortress | Old (Coptic) Cairo, Cairo, Egypt",09:00 am - 04:30 pm,,40.0
37,cairo,Mall Of Arabia Cairo,4.0,145.0,"This is Egypt’s biggest mall. The Mall of Arabia Cairo has the most amount of outlets in comparison with any other mall in the country. They also have a kids play area with special supervision. There are plenty of restaurants and cafes here too. The mall features several international brand stores as well. There is a dancing fountain show in the evenings that is a true delight to the eye. There are 23 gates to the mall and you can even purchase a car from here.
Hire a Taxi.",Hire a Taxi.,"26th of July Corridor, Giza Governorate, Egypt, Cairo",09:00 am - 11:00 pm,,40.0
38,cairo,Alabaster Sphinx,,,"The Alabaster Sphinx is beautifully erected near the remains of Memphis. The carving was made in honor of a Pharaoh who was actually unknown. The sphinx is 8meters (26 feet) long and 4meters (13 feet) tall and weighs about 90 tons. Its appearance has deteriorated over the years. The sphinx has a human head with a lion’s body sitting in a crouching position. The Alabaster Sphinx is also referred to as the calcite Sphinx.
Hire a taxi.",Hire a taxi.,"Memphis, near the Colossus of Ramses II, Cairo, Egypt, Cairo",09:00 am - 04:30 pm,,40.0
39,cairo,Mosque Of Amr Ibn El Aas,,,"Mosque of Amr Ibn El-Aas is Egypts oldest mosque. The construction of the mosque was completed in 642 AD. This mosque is erected on what was once the site of Amr Ibn el-As's tent at Fustat. The mosque has 2 doors facing north and 2 facing the house of Amr. The mosque is indeed a peaceful place with commendable interiors and exteriors. The mosque is a significant part of history in Cairo and is a recommended visit in the city.
It is wise to dress modestly.",It is wise to dress modestly.,"Sharia Sidi Hassan al-Anwar, Cairo, Egypt",No timings,,40.0
40,cairo,Manyal Palace Museum,,,"The Manyal palace was built the uncle of King Farouk in the 20th century. A compilation of Ottoman, Moorish, Persian and European rococo styles were used in the architecture of the palace. The palace was later converted into a museum with an extensive collection of hunting trophies and the prince’s collection of medieval manuscripts, clothing and more. The museum features interesting and impressive exhibits. The palace garden blossoms with rare tropical plants too.
Locals: EGP 5
Foreigners: EGP 100
Foreign Students: EGP 25","Locals: EGP 5
Foreigners: EGP 100
Foreign Students: EGP 25","1 Saray Street | Manyal, Cairo, Egypt",09:00 am - 04:00 pm,100.0,100.0
41,cairo,Al-Hakim Mosque,4.0,106.0,No description,No tips,No address,No timings,,40.0
42,cairo,Memphis Museum,,,"This museum of Memphis is named after the ancient capital of Aneb-Hetch, Memphis. It is located to the south of Cairo and is an open air museum and is said to be one of the most visited museums in Cairo. The most popular exhibit is the colossus of Ramses, followed by the Great Sphinx of Alabaster. The remains of ancient city are still alive here. After the museum, relaxing in the gardens is a good idea.
Memphis Museum is one of the most popular museums in Cairo and is also a rare place where the remains of the old city is kept alive. A visit to the museum is a great opportunity to go back in time. The famous exhibits that are displayed here include colossus of Ramses, followed by the Great Sphinx of Alabaster. Even though the Memphis Museum tickets are free of any charge, still there are many affordable Memphis Museum tours available. The Memphis Museum tours tickets will give you a guided tour of the museum and will enlighten you with its historical significance.","Photography is allowed.
Parking spaces are available outside museum.","Mit Rahina, Al Badrashin, Giza, Egypt, Cairo",08:00 am - 05:00 pm,30.0,30.0
43,cairo,Muez El Deen Allah Street,,,"The street is filled with a variety of old buildings. The street is replete with old constructions with nostalgic architecture. There are plenty of old fashioned cafes and restaurants here. The historic feature of this street is truly commendable. You would also come across a lot of mosques here. If you wish to see what old Cairo looked like, the Muez El Deen Allah Street is an area you should pay visit to.
Hire a Taxi.",Hire a Taxi.,"Cairo, Egypt",24-hrs,,40.0
44,cairo,Heliopolis,,,"Similar to the old down town Cairo, Heliopolis is home to old quarters the have old architecture and are very well preserved. There is a shopping area here which is next to the beautiful old arcade. Heliopolis is a blend of the old and the new. It features old constructions as well as new ones. There are plenty of shops, cafes and restaurants here too. Area is quite a fun place to while away some time when in Cairo.
Hire a Taxi.",Hire a Taxi.,"Cairo, Egypt",24-hrs,,40.0
45,cairo,Oum El Dounia Gallery,4.0,149.0,"Oum El Dounia translates to ""Mother of the world"" which is an Arabic nickname given to Egypt. The charming gallery is a myriad of colors and a wide collection of books and handicrafts. The gallery also works with NGO associations. The gallery can also be looked at as a commercial space where you can buy authentic Egyptian handicrafts at reasonable prices.
So buy a souvenir or take home some gorgeous stuff for your interiors, Oum El Dounia Gallery provides with everything that looks artistic.",Sadat Subway Station,"1er etage, 3 Talaat Harb, Bab Al Louq, Abdeen, Cairo Governorate, Egypt",10:00 am - 09:00 pm,,40.0
46,cairo,Saint Sergius Church,4.0,983.0,"St. Sergious Church is regarded as one the oldest churches in the city of Cairo. The church is said to be one of the places where the Holy Family escaped and rested. A mass is held here every first June to commemorate the event. The crypt in which they were said to have resided is 10 meters deep, and can often be flooded when the Nile is high. Its dedicated to the soldier-saints martyred during the 4th century in Syria.
Parking options available.
Special facilities offered for person with special needs.","Parking options available.
Special facilities offered for person with special needs.","Abu Serga Old Cairo, Cairo, Egypt.",08:00 am - 04:00 pm,,40.0
